NAC_ID,VOLUME_ID,URL,PRODUCT_ID,PRODUCT_VERSION_ID,ORBIT_NUMBER,SLEW_ANGLE,MISSION_PHASE_NAME,DATA_QUALITY_ID,START_TIME,STOP_TIME,IMAGE_LINES,LINE_SAMPLES,SAMPLE_BITS,SCALED_PIXEL_WIDTH,SCALED_PIXEL_HEIGHT,RESOLUTION,EMMISSION_ANGLE,INCIDENCE_ANGLE,PHASE_ANGLE,NORTH_AZIMUTH,SUB_SOLAR_AZIMUTH,SUB_SOLAR_LATITUDE,SUB_SOLAR_LONGITUDE,SUB_SPACECRAFT_LATITUDE,SUB_SPACECRAFT_LONGITUDE,SOLAR_DISTANCE,SOLAR_LONGITUDE,CENTER_LATITUDE,CENTER_LONGITUDE,UPPER_RIGHT_LATITUDE,UPPER_RIGHT_LONGITUDE,LOWER_RIGHT_LATITUDE,LOWER_RIGHT_LONGITUDE,LOWER_LEFT_LATITUDE,LOWER_LEFT_LONGITUDE,UPPER_LEFT_LATITUDE,UPPER_LEFT_LONGITUDE,SPACECRAFT_ALTITUDE,TARGET_CENTER_DISTANCE,ORBIT_NODE,LRO_FLIGHT_DIRECTION
21,"""LROLRC_1010""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1010/DATA/SCI/2012070/NAC/M186048671RC.IMG""","""M186048671RC""","""v1.9""",12496,  -0.007,"""SCIENCE MISSION""",0,"""2012-03-10 19:56:43.591""","""2012-03-10 19:57:10.254""",52224,5064,16,  1.35,  0.76,1.053,1.19,20.65,20.1,91.67,244.57,  1.49,326.70, 20.21,335.53,148904154.4,105.68, 20.21,335.62, 19.56,335.73, 20.87,335.75, 20.87,335.51, 19.56,335.49, 135.12,1872.50,A,+X
22,"""LROLRC_1018""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1018/DATA/ESM/2014048/NAC/M1147310942RC.IMG""","""M1147310942RC""","""v1.9""",21097,  13.386,"""EXTENDED SCIENCE MISSION""",0,"""2014-02-17 21:14:35.16""","""2014-02-17 21:15:01.823""",52224,5064,16,  1.34,  0.76,1.053,13.21,23.53,32.55,82.47,239.62,  1.40,322.40, 21.05,336.61,148171811.7,120.68, 21.08,335.63, 20.42,335.73, 21.74,335.76, 21.74,335.52, 20.43,335.50, 127.84,1865.20,A,+X
23,"""LROLRC_1015""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1015/DATA/ESM/2013086/NAC/M1119014742LC.IMG""","""M1119014742LC""","""v1.9""",17116,   0.010,"""EXTENDED SCIENCE MISSION""",0,"""2013-03-27 09:11:14.58""","""2013-03-27 09:11:35.492""",40960,5064,16,  0.84,  0.80,0.823,1.73,23.66,24.83,273.98,229.37,  1.06,355.36,-16.77,339.53,149656987.1,139.74,-16.78,339.61,-17.32,339.52,-16.23,339.55,-16.24,339.70,-17.32,339.67,  84.41,1821.85,D,-X
24,"""LROLRC_1019""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1019/DATA/ESM/2014075/NAC/M1149637354LC.IMG""","""M1149637354LC""","""v1.9""",21423,   3.426,"""EXTENDED SCIENCE MISSION""",0,"""2014-03-16 19:28:06.849""","""2014-03-16 19:28:37.989""",52224,5064,16,  0.89,  0.93,0.912,1.87,23.18,22.06,269.72,231.12,  0.91,354.53,-17.01,339.70,149218403.0,147.29,-17.01,339.61,-17.81,339.51,-16.20,339.56,-16.21,339.71,-17.82,339.66,  89.12,1826.56,D,-X
25,"""LROLRC_1014""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1014/DATA/ESM/2013061/NAC/M1116897645LC.IMG""","""M1116897645LC""","""v1.9""",16818,  -0.004,"""EXTENDED SCIENCE MISSION""",0,"""2013-03-02 21:06:18.368""","""2013-03-02 21:06:41.898""",52224,5064,16,  0.68,  0.72,0.698,1.71,35.22,35.72,89.44,105.84,  1.41,293.94,-33.02,301.91,148460874.6,117.31,-33.01,301.83,-33.64,301.87,-32.39,301.93,-32.39,301.79,-33.63,301.74,  67.64,1805.02,D,+X
26,"""LROLRC_1022""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1022/DATA/ESM2/2015040/NAC/M1178131841LC.IMG""","""M1178131841LC""","""v1.9""",25429,  -0.009,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-02-09 14:36:14.098""","""2015-02-09 14:36:33.965""",38912,5064,16,  0.74,  0.81,0.774,1.72,35.17,35.72,90.46,107.59,  1.23,293.52,-33.06,301.90,147786616.5,131.50,-33.05,301.81,-33.58,301.85,-32.54,301.92,-32.53,301.77,-33.57,301.70,  74.01,1811.39,D,+X
27,"""LROLRC_1011""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1011/DATA/SCI/2012076/NAC/M186498809LC.IMG""","""M186498809LC""","""v1.9""",12559,  -0.012,"""SCIENCE MISSION""",0,"""2012-03-16 00:59:02.215""","""2012-03-16 00:59:28.878""",52224,5064,16,  1.22,  0.77,0.996,1.76,9.43,10.09,90.71,253.28,  1.45,263.31, 10.36,266.50,148736600.4,113.26, 10.37,266.38,  9.70,266.46, 11.03,266.50, 11.04,266.29,  9.71,266.26, 122.35,1859.74,A,+X
28,"""LROLRC_1014""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1014/DATA/ESM/2013064/NAC/M1117140032LC.IMG""","""M1117140032LC""","""v1.9""",16853,  -0.008,"""EXTENDED SCIENCE MISSION""",0,"""2013-03-05 16:26:05.432""","""2013-03-05 16:26:32.095""",52224,5064,16,  1.12,  0.78,0.95,1.75,11.1,12.17,91.18,236.38,  1.36,259.80, 10.34,266.47,148337826.1,119.97, 10.34,266.36,  9.66,266.43, 11.00,266.48, 11.01,266.29,  9.67,266.24, 112.27,1849.65,A,+X
29,"""LROLRC_1001""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1001/DATA/COM/2009247/NAC/M106690695LC.IMG""","""M106690695LC""","""v1.9""",865,  18.563,"""COMMISSIONING""",0,"""2009-09-04 08:03:48.66""","""2009-09-04 08:04:40.84""",52224,5064,16,  1.63,  1.47,1.55,18.39,36.38,23.0,103.59,211.65, -1.08,  0.37, 20.20, 28.92,151252117.1,220.68, 20.18, 30.50, 21.45, 30.69, 18.91, 30.60, 18.92, 30.31, 21.45, 30.40, 147.11,1884.43,A,-X
30,"""LROLRC_1012""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1012/DATA/SCI/2012243/NAC/M1101009474RC.IMG""","""M1101009474RC""","""v1.9""",14589,   0.008,"""SCIENCE MISSION""",0,"""2012-08-30 23:43:27.237""","""2012-08-30 23:43:53.9""",52224,5064,16,  1.29,  0.76,1.029,1.2,27.66,26.79,89.33,226.41, -1.54, 12.39, 19.69, 30.37,151382364.3,278.38, 19.69, 30.46, 20.36, 30.56, 19.04, 30.58, 19.03, 30.36, 20.35, 30.33, 129.70,1867.04,A,-X
