NAC_ID,VOLUME_ID,URL,PRODUCT_ID,PRODUCT_VERSION_ID,ORBIT_NUMBER,SLEW_ANGLE,MISSION_PHASE_NAME,DATA_QUALITY_ID,START_TIME,STOP_TIME,IMAGE_LINES,LINE_SAMPLES,SAMPLE_BITS,SCALED_PIXEL_WIDTH,SCALED_PIXEL_HEIGHT,RESOLUTION,EMMISSION_ANGLE,INCIDENCE_ANGLE,PHASE_ANGLE,NORTH_AZIMUTH,SUB_SOLAR_AZIMUTH,SUB_SOLAR_LATITUDE,SUB_SOLAR_LONGITUDE,SUB_SPACECRAFT_LATITUDE,SUB_SPACECRAFT_LONGITUDE,SOLAR_DISTANCE,SOLAR_LONGITUDE,CENTER_LATITUDE,CENTER_LONGITUDE,UPPER_RIGHT_LATITUDE,UPPER_RIGHT_LONGITUDE,LOWER_RIGHT_LATITUDE,LOWER_RIGHT_LONGITUDE,LOWER_LEFT_LATITUDE,LOWER_LEFT_LONGITUDE,UPPER_LEFT_LATITUDE,UPPER_LEFT_LONGITUDE,SPACECRAFT_ALTITUDE,TARGET_CENTER_DISTANCE,ORBIT_NODE,LRO_FLIGHT_DIRECTION
74,"""LROLRC_1021""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1021/DATA/ESM2/2014269/NAC/M1166367025LC.IMG""","""M1166367025LC""","""v1.9""",23774,  -0.010,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2014-09-26 10:35:57.977""","""2014-09-26 10:36:28.564""",35840,5064,16,  1.27,  1.28,1.272,1.76,35.23,36.66,268.6,143.12, -0.47,150.30, 20.96,121.56,149635227.2,339.75, 20.97,121.69, 21.72,121.54, 20.21,121.62, 20.22,121.84, 21.73,121.77, 126.56,1864.03,A,+X
75,"""LROLRC_1028""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1028/DATA/ESM2/2016247/NAC/M1227564860RC.IMG""","""M1227564860RC""","""v1.9""",32449,  -0.010,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2016-09-03 17:59:52.83""","""2016-09-03 18:00:13.122""",28672,5064,16,  1.07,  1.08,1.071,1.18,38.95,38.0,265.42,148.88,  0.00,155.73, 20.53,121.94,150520293.4,359.84, 20.52,121.87, 21.02,121.74, 20.00,121.81, 20.01,121.99, 21.03,121.93, 106.96,1844.45,A,+X
76,"""LROLRC_1006""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1006/DATA/SCI/2011041/NAC/M152017638RC.IMG""","""M152017638RC""","""v1.9""",7537,  -0.008,"""SCIENCE MISSION""",0,"""2011-02-10 22:52:50.938""","""2011-02-10 22:53:11.782""",52224,5064,16,  0.59,  0.63,0.611,1.15,46.44,45.33,91.23,196.53,  1.19, 87.55, 18.04,131.62,147603770.6, 46.70, 18.04,131.65, 17.49,131.70, 18.59,131.71, 18.59,131.61, 17.49,131.60,  59.08,1796.36,A,+X
77,"""LROLRC_1033""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1033/DATA/ESM3/2017330/NAC/M1266327868RC.IMG""","""M1266327868RC""","""v1.9""",37961,  -0.015,"""THIRD EXTENDED SCIENCE MISSION""",0,"""2017-11-26 09:30:01.813""","""2017-11-26 09:30:42.801""",52224,5064,16,  1.16,  1.19,1.173,1.18,47.13,45.99,94.49,199.19,  1.50, 86.76, 18.35,131.58,147612534.5, 98.68, 18.35,131.66, 17.33,131.69, 19.37,131.83, 19.38,131.63, 17.34,131.49, 116.21,1853.49,A,+X
78,"""LROLRC_1012""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1012/DATA/SCI/2012234/NAC/M1100201987LC.IMG""","""M1100201987LC""","""v1.9""",14476,   0.008,"""SCIENCE MISSION""",0,"""2012-08-21 15:25:20.421""","""2012-08-21 15:25:38.719""",35840,5064,16,  1.36,  0.76,1.06,1.77,36.02,37.42,87.81,219.5, -1.51,126.42, 23.43,153.27,151089209.4,262.36, 23.43,153.13, 23.88,153.25, 22.98,153.27, 22.97,153.02, 23.87,153.00, 135.94,1873.27,A,-X
79,"""LROLRC_1024""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1024/DATA/ESM2/2015201/NAC/M1192058041LC.IMG""","""M1192058041LC""","""v1.9""",27400,   0.008,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-07-20 18:59:34.56""","""2015-07-20 19:00:14.652""",52224,5064,16,  1.13,  1.16,1.147,1.75,36.21,37.61,86.43,218.96, -1.43,126.72, 24.09,153.31,151774234.9,287.57, 24.08,153.19, 25.09,153.24, 23.08,153.34, 23.07,153.14, 25.08,153.04, 113.14,1850.47,A,-X
80,"""LROLRC_1015""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1015/DATA/ESM/2013100/NAC/M1120215760RC.IMG""","""M1120215760RC""","""v1.9""",17286,   0.013,"""EXTENDED SCIENCE MISSION""",0,"""2013-04-10 06:48:12.841""","""2013-04-10 06:48:38.982""",51200,5064,16,  1.32,  0.76,1.041,1.2,34.01,33.0,270.52,152.0,  0.69,185.91, 19.21,156.89,149495968.0,150.44, 19.21,156.80, 18.56,156.67, 19.85,156.70, 19.85,156.93, 18.56,156.90, 132.35,1869.83,A,-X
81,"""LROLRC_1019""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1019/DATA/ESM/2014089/NAC/M1150840996RC.IMG""","""M1150840996RC""","""v1.9""",21593,   0.008,"""EXTENDED SCIENCE MISSION""",0,"""2014-03-30 17:48:49.25""","""2014-03-30 17:49:11.753""",28672,5064,16,  1.41,  1.15,1.28,1.2,33.12,32.12,271.01,151.06,  0.48,184.79, 19.11,156.96,149049408.4,159.27, 19.11,156.86, 18.56,156.72, 19.66,156.75, 19.65,157.00, 18.55,156.96, 141.08,1878.56,A,-X
82,"""LROLRC_1026""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1026/DATA/ESM2/2016040/NAC/M1209697769RC.IMG""","""M1209697769RC""","""v1.9""",29909,   0.013,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2016-02-09 22:55:02.649""","""2016-02-09 22:55:37.567""",51200,5064,16,  1.26,  1.02,1.136,1.19,17.58,17.5,271.69,100.4,  0.84,159.51, 18.27,157.28,147255472.6,142.24, 18.27,157.20, 17.41,157.05, 19.14,157.13, 19.13,157.35, 17.40,157.27, 125.79,1863.19,A,-X
83,"""LROLRC_1028""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1028/DATA/ESM2/2016217/NAC/M1224983754RC.IMG""","""M1224983754RC""","""v1.9""",32082,  -0.009,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2016-08-04 21:01:27.07""","""2016-08-04 21:02:02.686""",52224,5064,16,  1.02,  1.04,1.031,1.17,19.82,19.8,266.06,97.12, -0.77,160.61, 18.78,157.29,151406604.1,326.19, 18.77,157.23, 19.67,157.09, 17.86,157.18, 17.87,157.36, 19.68,157.27, 101.88,1839.29,A,+X
84,"""LROLRC_1015""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1015/DATA/ESM/2013099/NAC/M1120158780RC.IMG""","""M1120158780RC""","""v1.9""",17278,   0.007,"""EXTENDED SCIENCE MISSION""",0,"""2013-04-09 14:58:32.897""","""2013-04-09 14:58:59.56""",52224,5064,16,  1.19,  0.77,0.978,1.18,30.19,29.09,270.36,163.58,  0.71,193.97, 10.92,165.45,149475163.8,150.05, 10.92,165.37, 10.26,165.26, 11.59,165.29, 11.58,165.49, 10.25,165.46, 118.81,1856.29,A,-X
85,"""LROLRC_1023""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1023/DATA/ESM2/2015078/NAC/M1181394311RC.IMG""","""M1181394311RC""","""v1.9""",25889,   0.008,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-03-19 08:50:44.315""","""2015-03-19 08:51:12.6""",40960,5064,16,  1.25,  1.03,1.141,1.19,30.54,29.45,271.21,161.47,  0.31,193.78, 12.20,165.50,148579610.0,166.48, 12.20,165.42, 11.50,165.29, 12.90,165.34, 12.89,165.55, 11.49,165.50, 125.16,1862.63,A,-X
86,"""LROLRC_1015""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1015/DATA/ESM/2013098/NAC/M1120087492LC.IMG""","""M1120087492LC""","""v1.9""",17267,   0.008,"""EXTENDED SCIENCE MISSION""",0,"""2013-04-08 19:10:25.054""","""2013-04-08 19:10:51.717""",52224,5064,16,  1.02,  0.78,0.901,1.74,27.96,29.68,273.53,188.55,  0.72,204.06, -2.77,176.22,149459074.8,149.66, -2.77,176.31, -3.44,176.21, -2.09,176.24, -2.09,176.41, -3.45,176.38, 101.81,1839.29,D,-X
87,"""LROLRC_1019""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1019/DATA/ESM/2014088/NAC/M1150712448LC.IMG""","""M1150712448LC""","""v1.9""",21574,  -0.008,"""EXTENDED SCIENCE MISSION""",0,"""2014-03-29 06:06:21.027""","""2014-03-29 06:06:43.64""",36864,5064,16,  1.10,  0.94,1.019,1.75,26.93,28.66,274.0,189.07,  0.52,202.97, -2.88,176.14,149012766.0,157.95, -2.88,176.25, -3.45,176.14, -2.31,176.18, -2.32,176.36, -3.46,176.32, 110.13,1847.60,D,-X
88,"""LROLRC_1013""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1013/DATA/ESM/2012285/NAC/M1104624000RC.IMG""","""M1104624000RC""","""v1.9""",15095,  -0.010,"""EXTENDED SCIENCE MISSION""",0,"""2012-10-11 19:45:33.444""","""2012-10-11 19:45:55.924""",44032,5064,16,  1.31,  0.76,1.035,1.19,27.76,26.74,267.75,153.05, -0.97,222.20, 11.84,197.50,149058352.0,320.08, 11.83,197.41, 12.39,197.29, 11.28,197.31, 11.28,197.53, 12.39,197.51, 130.88,1868.36,A,+X
89,"""LROLRC_1019""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1019/DATA/ESM/2014086/NAC/M1150577521LC.IMG""","""M1150577521LC""","""v1.9""",21556,   0.007,"""EXTENDED SCIENCE MISSION""",0,"""2014-03-27 16:37:34.06""","""2014-03-27 16:37:53.86""",28672,5064,16,  1.30,  1.03,1.164,1.77,26.78,28.43,273.53,158.95,  0.56,222.04, 11.76,197.41,149015921.4,156.87, 11.76,197.54, 11.28,197.42, 12.25,197.44, 12.25,197.67, 11.27,197.63, 129.57,1867.04,A,-X
90,"""LROLRC_1018""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1018/DATA/ESM/2014059/NAC/M1148200495RC.IMG""","""M1148200495RC""","""v1.9""",21222,  -0.008,"""EXTENDED SCIENCE MISSION""",0,"""2014-02-28 04:20:28.345""","""2014-02-28 04:20:47.872""",26624,5064,16,  1.47,  1.07,1.273,1.2,29.25,29.03,92.68,262.59,  1.17,197.07, 30.10,201.39,147844195.4,126.76, 30.11,201.50, 29.63,201.62, 30.58,201.66, 30.58,201.38, 29.64,201.34, 147.38,1884.77,A,+X
91,"""LROLRC_1020""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1020/DATA/ESM/2014236/NAC/M1163486263RC.IMG""","""M1163486263RC""","""v1.9""",23369,   0.007,"""EXTENDED SCIENCE MISSION""",0,"""2014-08-24 02:23:15.792""","""2014-08-24 02:23:53.646""",52224,5064,16,  1.45,  1.06,1.256,1.2,31.58,31.3,88.21,259.19, -1.21,197.34, 30.11,201.41,150871378.6,307.20, 30.12,201.52, 31.04,201.62, 29.20,201.70, 29.19,201.42, 31.03,201.34, 145.28,1882.67,A,-X
92,"""LROLRC_1019""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1019/DATA/ESM/2014086/NAC/M1150535269RC.IMG""","""M1150535269RC""","""v1.9""",21550,   0.010,"""EXTENDED SCIENCE MISSION""",0,"""2014-03-27 04:53:22.472""","""2014-03-27 04:54:05.698""",52224,5064,16,  1.50,  1.21,1.354,1.2,39.99,39.29,271.43,130.55,  0.57,228.01, 34.04,204.75,149024513.5,156.58, 34.04,204.63, 33.00,204.44, 35.08,204.52, 35.08,204.83, 32.99,204.73, 150.21,1887.67,A,-X
93,"""LROLRC_1024""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1024/DATA/ESM2/2015252/NAC/M1196422522LC.IMG""","""M1196422522LC""","""v1.9""",28021,  -0.008,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-09-09 07:20:55.466""","""2015-09-09 07:21:42.721""",52224,5064,16,  1.42,  1.33,1.373,1.78,41.16,42.25,268.28,127.07, -0.38,229.91, 33.27,204.56,150411235.2,345.07, 33.27,204.72, 34.41,204.51, 32.12,204.65, 32.13,204.92, 34.43,204.80, 141.44,1878.90,A,+X
94,"""LROLRC_1013""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1013/DATA/ESM/2012284/NAC/M1104552268LC.IMG""","""M1104552268LC""","""v1.9""",15085,  -0.007,"""EXTENDED SCIENCE MISSION""",0,"""2012-10-10 23:50:00.548""","""2012-10-10 23:50:27.211""",52224,5064,16,  1.53,  0.74,1.138,1.79,36.58,37.8,269.97,131.86, -0.99,232.34, 27.23,207.98,149145228.5,320.12, 27.23,208.14, 27.87,207.98, 26.58,208.01, 26.59,208.30, 27.87,208.27, 153.33,1890.80,A,+X
95,"""LROLRC_1021""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1021/DATA/ESM2/2014262/NAC/M1165798401LC.IMG""","""M1165798401LC""","""v1.9""",23694,  -0.009,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2014-09-19 20:38:54.055""","""2014-09-19 20:39:28.991""",44032,5064,16,  1.43,  1.17,1.298,1.78,35.16,36.31,268.9,129.35, -0.61,230.76, 26.96,207.94,149998117.0,336.24, 26.96,208.10, 27.81,207.92, 26.11,208.00, 26.12,208.26, 27.82,208.19, 142.71,1880.18,A,+X
96,"""LROLRC_1013""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1013/DATA/ESM/2012284/NAC/M1104538070RC.IMG""","""M1104538070RC""","""v1.9""",15083,  -0.010,"""EXTENDED SCIENCE MISSION""",0,"""2012-10-10 19:53:23.029""","""2012-10-10 19:53:49.692""",52224,5064,16,  1.48,  0.75,1.113,1.2,33.63,32.84,267.59,136.4, -1.00,234.34, 23.01,210.24,149163186.3,320.13, 23.00,210.14, 23.64,209.98, 22.35,210.02, 22.36,210.28, 23.65,210.25, 148.21,1885.68,A,+X
97,"""LROLRC_1021""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1021/DATA/ESM2/2014262/NAC/M1165784274RC.IMG""","""M1165784274RC""","""v1.9""",23692,  -0.011,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2014-09-19 16:43:27.448""","""2014-09-19 16:43:46.541""",27648,5064,16,  1.39,  1.02,1.205,1.2,32.36,31.62,266.57,133.47, -0.61,232.76, 23.16,210.27,150014336.0,336.22, 23.14,210.17, 23.61,210.02, 22.67,210.06, 22.68,210.31, 23.62,210.27, 139.31,1876.77,A,+X
98,"""LROLRC_1013""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1013/DATA/ESM/2012265/NAC/M1102874645LC.IMG""","""M1102874645LC""","""v1.9""",14850,  -0.010,"""EXTENDED SCIENCE MISSION""",0,"""2012-09-21 13:49:38.335""","""2012-09-21 13:50:04.999""",52224,5064,16,  0.78,  0.81,0.792,1.72,25.97,26.26,270.69,262.57, -1.31,108.83,-27.18,106.26,150067382.7,293.78,-27.18,106.34,-26.48,106.24,-27.88,106.30,-27.87,106.44,-26.48,106.39,  77.65,1815.05,D,+X
99,"""LROLRC_1020""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1020/DATA/ESM/2014243/NAC/M1164127750LC.IMG""","""M1164127750LC""","""v1.9""",23459,  -0.009,"""EXTENDED SCIENCE MISSION""",0,"""2014-08-31 12:34:43.201""","""2014-08-31 12:35:03.343""",35840,5064,16,  0.83,  0.88,0.857,1.73,26.09,26.26,269.69,267.07, -1.08,106.49,-27.18,106.32,150854432.5,310.90,-27.17,106.41,-26.65,106.30,-27.70,106.37,-27.69,106.52,-26.65,106.46,  83.11,1820.51,D,+X
100,"""LROLRC_1019""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1019/DATA/ESM/2014083/NAC/M1150264787LC.IMG""","""M1150264787LC""","""v1.9""",21512,   0.007,"""EXTENDED SCIENCE MISSION""",0,"""2014-03-24 01:45:20.303""","""2014-03-24 01:45:57.809""",39936,5064,16,  1.40,  1.39,1.396,1.78,38.76,39.84,274.56,126.12,  0.67,266.20, 34.67,246.09,149131990.1,154.71, 34.66,246.25, 33.76,246.05, 35.58,246.17, 35.57,246.46, 33.74,246.32, 140.24,1877.69,A,-X
101,"""LROLRC_1022""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1022/DATA/ESM2/2015072/NAC/M1180876383LC.IMG""","""M1180876383LC""","""v1.9""",25816,   0.031,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-03-13 08:58:36.296""","""2015-03-13 08:59:14.475""",43008,5064,16,  1.31,  1.32,1.315,1.77,39.19,40.31,275.02,127.44,  0.49,266.90, 34.64,246.14,148706033.5,161.85, 34.63,246.29, 33.70,246.09, 35.58,246.23, 35.56,246.50, 33.68,246.35, 130.81,1868.27,A,-X
102,"""LROLRC_1013""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1013/DATA/ESM/2012281/NAC/M1104273380RC.IMG""","""M1104273380RC""","""v1.9""",15046,  -0.007,"""EXTENDED SCIENCE MISSION""",0,"""2012-10-07 18:21:53.421""","""2012-10-07 18:22:20.084""",52224,5064,16,  1.63,  0.73,1.182,1.21,46.75,46.27,266.45,118.09, -1.06,271.71, 41.32,250.06,149521777.1,319.67, 41.31,249.92, 41.94,249.70, 40.67,249.78, 40.68,250.14, 41.95,250.06, 163.24,1900.69,A,+X
103,"""LROLRC_1024""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1024/DATA/ESM2/2015248/NAC/M1196119944RC.IMG""","""M1196119944RC""","""v1.9""",27978,  -0.007,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-09-05 19:17:57.197""","""2015-09-05 19:18:21.745""",26624,5064,16,  1.40,  1.35,1.376,1.2,46.59,46.12,264.73,117.85, -0.46,272.70, 41.35,250.09,150794339.6,343.14, 41.34,249.98, 41.93,249.75, 40.74,249.88, 40.75,250.19, 41.95,250.07, 140.09,1877.54,A,+X
104,"""LROLRC_1012""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1012/DATA/SCI/2012253/NAC/M1101866147RC.IMG""","""M1101866147RC""","""v1.9""",14709,   0.005,"""SCIENCE MISSION""",0,"""2012-09-09 21:41:19.836""","""2012-09-09 21:41:46.499""",52224,5064,16,  1.64,  0.73,1.185,1.21,44.18,43.86,87.57,257.56, -1.48,251.52, 42.33,257.65,150540277.9,292.52, 42.34,257.79, 42.98,257.94, 41.71,258.01, 41.70,257.65, 42.97,257.57, 164.05,1901.44,A,-X
105,"""LROLRC_1016""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1016/DATA/ESM/2013242/NAC/M1132496422RC.IMG""","""M1132496422RC""","""v1.9""",19013,   0.006,"""EXTENDED SCIENCE MISSION""",0,"""2013-08-30 10:05:54.831""","""2013-08-30 10:06:21.495""",52224,5064,16,  1.54,  0.74,1.143,1.21,44.28,43.9,86.88,254.54, -1.39,249.87, 42.30,257.63,150885356.1,300.73, 42.32,257.77, 42.97,257.89, 41.69,257.99, 41.67,257.65, 42.95,257.54, 154.81,1892.20,A,-X
106,"""LROLRC_1019""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1019/DATA/ESM/2014081/NAC/M1150100863RC.IMG""","""M1150100863RC""","""v1.9""",21489,   0.016,"""EXTENDED SCIENCE MISSION""",0,"""2014-03-22 04:13:15.953""","""2014-03-22 04:13:52.016""",52224,5064,16,  1.34,  1.02,1.18,1.19,30.67,29.92,272.26,132.66,  0.73,289.30, 25.39,270.50,149205443.8,153.28, 25.39,270.41, 24.51,270.24, 26.28,270.34, 26.27,270.58, 24.50,270.48, 133.93,1871.38,A,-X
107,"""LROLRC_1022""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1022/DATA/ESM2/2015070/NAC/M1180712753RC.IMG""","""M1180712753RC""","""v1.9""",25793,   0.008,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-03-11 11:31:26.354""","""2015-03-11 11:32:01.075""",52224,5064,16,  1.27,  0.99,1.129,1.19,31.14,30.4,272.7,134.12,  0.55,289.95, 25.29,270.45,148775950.3,160.49, 25.29,270.36, 24.44,270.19, 26.15,270.30, 26.14,270.54, 24.42,270.42, 127.07,1864.53,A,-X
108,"""LROLRC_1014""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1014/DATA/ESM/2013063/NAC/M1117039759RC.IMG""","""M1117039759RC""","""v1.9""",16838,  -0.008,"""EXTENDED SCIENCE MISSION""",0,"""2013-03-04 12:34:52.203""","""2013-03-04 12:35:17.075""",52224,5064,16,  0.71,  0.76,0.735,1.16,33.36,33.18,94.6,103.91,  1.38,273.93,-31.48,279.92,148390625.5,119.17,-31.48,279.97,-32.14,280.01,-30.83,280.08,-30.82,279.94,-32.13,279.87,  71.56,1808.95,D,+X
109,"""LROLRC_1022""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1022/DATA/ESM2/2015042/NAC/M1178274017RC.IMG""","""M1178274017RC""","""v1.9""",25449,  -0.031,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-02-11 06:05:50.026""","""2015-02-11 06:06:10.073""",39936,5064,16,  0.77,  0.79,0.781,1.17,33.35,33.16,95.65,105.59,  1.19,273.52,-31.60,279.86,147710006.0,132.73,-31.60,279.92,-32.13,279.96,-31.08,280.03,-31.07,279.88,-32.12,279.81,  77.54,1814.93,D,+X
110,"""LROLRC_1015""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1015/DATA/ESM/2013114/NAC/M1121437076RC.IMG""","""M1121437076RC""","""v1.9""",17458,  -0.003,"""EXTENDED SCIENCE MISSION""",0,"""2013-04-24 10:03:29.191""","""2013-04-24 10:03:54.809""",50176,5064,16,  1.25,  0.76,1.008,1.18,48.37,47.32,270.63,157.4,  0.39, 13.42, 25.29,330.53,150814854.3,166.77, 25.29,330.44, 24.66,330.31, 25.93,330.34, 25.92,330.57, 24.65,330.54, 125.32,1862.83,A,-X
111,"""LROLRC_1023""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1023/DATA/ESM2/2015093/NAC/M1182672841RC.IMG""","""M1182672841RC""","""v1.9""",26069,   0.009,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-04-03 03:59:34.4""","""2015-04-03 04:00:19.417""",52224,5064,16,  1.26,  1.28,1.27,1.19,48.61,47.54,271.64,157.63, -0.07, 13.37, 25.52,330.62,149937542.3,182.24, 25.52,330.53, 24.41,330.37, 26.64,330.47, 26.63,330.70, 24.40,330.60, 125.86,1863.37,A,-X
112,"""LROLRC_1012""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1012/DATA/SCI/2012220/NAC/M1098973172RC.IMG""","""M1098973172RC""","""v1.9""",14304,  -0.004,"""SCIENCE MISSION""",0,"""2012-08-07 10:05:04.966""","""2012-08-07 10:05:13.331""",16384,5064,16,  1.28,  0.76,1.023,1.18,44.23,43.1,89.55,199.29, -1.51,300.39, 17.02,341.04,151874667.4,258.66, 17.03,341.13, 17.24,341.24, 16.83,341.24, 16.82,341.02, 17.24,341.01, 128.48,1865.78,A,-X
113,"""LROLRC_1022""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1022/DATA/ESM2/2015010/NAC/M1175538978RC.IMG""","""M1175538978RC""","""v1.9""",25065,  -0.010,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-01-10 14:21:51.465""","""2015-01-10 14:22:03.915""",15360,5064,16,  1.20,  1.22,1.209,1.18,44.74,43.59,93.12,197.81,  1.56,298.45, 17.11,341.05,147321658.1,100.29, 17.12,341.13, 16.80,341.22, 17.42,341.25, 17.43,341.04, 16.81,341.02, 119.97,1857.26,A,+X
114,"""LROLRC_1015""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1015/DATA/ESM/2013113/NAC/M1121358833RC.IMG""","""M1121358833RC""","""v1.9""",17447,  -0.024,"""EXTENDED SCIENCE MISSION""",0,"""2013-04-23 12:19:26.198""","""2013-04-23 12:19:52.861""",52224,5064,16,  1.17,  0.77,0.97,1.16,44.94,43.86,270.52,163.79,  0.42, 24.44, 17.48,342.24,150750773.1,165.59, 17.47,342.17, 16.81,342.05, 18.14,342.08, 18.14,342.28, 16.80,342.25, 116.97,1854.49,A,-X
115,"""LROLRC_1023""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1023/DATA/ESM2/2015092/NAC/M1182594581RC.IMG""","""M1182594581RC""","""v1.9""",26058,   0.011,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-04-02 06:15:13.862""","""2015-04-02 06:15:55.746""",52224,5064,16,  1.19,  1.21,1.199,1.18,45.23,44.13,271.46,163.82, -0.04, 24.39, 17.83,342.20,149876291.4,181.41, 17.83,342.12, 16.79,341.97, 18.88,342.06, 18.87,342.27, 16.78,342.18, 119.20,1856.71,A,-X
116,"""LROLRC_1012""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1012/DATA/SCI/2012251/NAC/M1101653181RC.IMG""","""M1101653181RC""","""v1.9""",14679,   0.010,"""SCIENCE MISSION""",0,"""2012-09-07 10:31:54.459""","""2012-09-07 10:32:19.779""",52224,5064,16,  0.72,  0.77,0.743,1.15,26.24,25.84,89.45,115.14, -1.50,281.61,-25.20,293.25,150819626.7,291.17,-25.19,293.30,-24.52,293.34,-25.86,293.39,-25.86,293.26,-24.53,293.21,  71.89,1809.26,D,-X
